message_id,wpm,snr_requested_db,signal_type,device,transform,windows_available,windows_tested,fidelity_mean,fidelity_std,fidelity_min,leakage_mean,leakage_max,depth_mean,depth_std,size_mean,size_std,twoq_mean,twoq_std,simulation_time_mean_s,simulation_time_std_s,simulation_time_total_s
0,20,-10.0,noisy,FakeSherbrooke,QDWT,236,236,0.003909790688640266,1.8412344847489627e-05,0.0038607843009229926,0.0,0.0,8524.360169491525,93.42391052401088,14891.99152542373,93.4941759957844,2451.0,0.0,0.7934046567793072,0.056340640626447086,187.24349899991648
1,20,,clean,ideal,QFT,260,260,0.9999999999999987,1.6610018777819947e-15,0.9999999999999925,0.0,0.0,511.0,0.0,542.0,0.0,279.0,0.0,0.033119311154587196,0.0034094942208339665,8.61102090019267
1,20,,clean,ideal,QDCT,260,260,0.999999999999885,4.550081018121525e-15,0.9999999999998728,0.0,0.0,3235.0,0.0,4377.0,0.0,2061.0,0.0,0.46782185038632285,0.020193918976309507,121.63368110044394
1,20,,clean,ideal,QDST,260,260,0.9999999999998852,4.066002001062632e-15,0.9999999999998728,0.0,0.0,3236.0,0.0,4378.0,0.0,2061.0,0.0,0.46991505115360127,0.02177761626913038,122.17791329993634
1,20,,clean,ideal,QDWT,260,260,0.9999999999998676,2.5387477453832524e-15,0.9999999999998609,0.0,0.0,3668.0,0.0,4746.0,0.0,2143.0,0.0,0.19217640692211438,0.009304863002142992,49.965865799749736
1,20,30.0,noisy,ideal,QFT,260,260,0.9999999999999989,1.8072859128173676e-15,0.9999999999999948,0.0,0.0,511.0,0.0,542.0,0.0,279.0,0.0,0.03288477846139218,0.0029372179671510595,8.550042399961967
1,20,30.0,noisy,ideal,QDCT,260,260,0.9999999999998854,4.559297749124147e-15,0.9999999999998724,0.0,0.0,3235.0,0.0,4377.0,0.0,2061.0,0.0,0.46698479115327174,0.0179421434676231,121.41604569985066
1,20,30.0,noisy,ideal,QDST,260,260,0.9999999999998854,3.933827049020928e-15,0.9999999999998714,0.0,0.0,3236.0,0.0,4378.0,0.0,2061.0,0.0,0.494425470000715,0.06276129249584801,128.5506222001859
1,20,30.0,noisy,ideal,QDWT,260,260,0.9999999999998676,2.8570721860483087e-15,0.99999999999986,0.0,0.0,3668.0,0.0,4746.0,0.0,2143.0,0.0,0.19369396499980493,0.00874619815060557,50.36043089994928
1,20,,clean,FakeSherbrooke,QFT,260,260,0.04188698904286696,0.001395480045973509,0.03882603162440641,0.0,0.0,1206.6576923076923,45.66519186996492,2002.7884615384614,45.99788311954464,315.0,0.0,0.41420288230874575,0.05009146458372647,107.6927494002739
